index,text,label
0,"
The following is a fragment of a conversation between a student and a teacher:
Steven: I would have 12 of something.
",probing
1,"
The following is a fragment of a conversation between a student and a teacher:
Steven: She would have 54 cubic feet of water.
",generic
2,"
The following is a fragment of a conversation between a student and a teacher:
Student: It will take one day to do one step, since John adds one pushup per day.
",probing
3,"
The following is a fragment of a conversation between a student and a teacher:
Student: It will take 15 days to do 15 wall push-ups, since he adds one pushup per day.
",probing
4,"
The following is a fragment of a conversation between a student and a teacher:
Student: It will take 29 days to get to 15 high elevation push-ups, since he adds one pushup per day and it takes 14 days to get to 15 wall push-ups.
",telling
5,"
The following is a fragment of a conversation between a student and a teacher:
Student: It will take 29 days to get to 15 high elevation push-ups, since he adds one pushup per day and it takes 15 days to get to 15 wall push-ups.
",probing
6,"
The following is a fragment of a conversation between a student and a teacher:
Student: It will take 29 days to get to 15 high elevation push-ups, since it takes 14 days to get from 0 to 15 wall push-ups and an additional 15 days to get from 15 wall push-ups to 15 high elevation push-ups.
",probing
7,"
The following is a fragment of a conversation between a student and a teacher:
Student: It will take 29 days to get to 15 high elevation push-ups, since it takes 15 days to get from 0 to 15 wall push-ups and an additional 14 days to get from 15 wall push-ups to 15 high elevation push-ups.
",telling
8,"
The following is a fragment of a conversation between a student and a teacher:
Student: It will take 29 days to get to 15 high elevation push-ups, since it takes 15 days to get from 0 to 15 wall push-ups and an additional 14 days to get from 15 wall push-ups to 15 high elevation push-ups.
",telling
9,"
The following is a fragment of a conversation between a student and a teacher:
Student: It will take 29 days to get to 15 high elevation push-ups, since it takes 15 days to get from 0 to 15 wall push-ups and an additional 15 days to get from 15 wall push-ups to 15 high elevation push-ups.
",telling
10,"
The following is a fragment of a conversation between a student and a teacher:
Student: It will take 29 days to get to 15 high elevation push-ups, since it takes 15 days to get from 0 to 15 wall push-ups and an additional 15 days to get from 15 wall push-ups to 15 high elevation push-ups.
",telling
11,"
The following is a fragment of a conversation between a student and a teacher:
Student: James had 10 pairs of black socks.
",probing
12,"
The following is a fragment of a conversation between a student and a teacher:
Student: James had 20 pairs of red socks.
",probing
13,"
The following is a fragment of a conversation between a student and a teacher:
Student: James had 60 pairs of white socks.
",probing
14,"
The following is a fragment of a conversation between a student and a teacher:
Student: James had a total of 90 pairs of socks.
",generic
15,"
The following is a fragment of a conversation between a student and a teacher:
Student: The distance between the first and second stores is 6 miles.
",probing
16,"
The following is a fragment of a conversation between a student and a teacher:
Student: The distance between the second and third stores is 2/3 x 6 = 4 miles longer than the distance between the first two stores, so it is 6 + 4 = 10 miles.
",probing
17,"
The following is a fragment of a conversation between a student and a teacher:
Student: The distance between his house and the first store is 4 miles.
",probing
18,"
The following is a fragment of a conversation between a student and a teacher:
Student: The distance between the last (3rd) store and work is also 4 miles.
",probing
19,"
The following is a fragment of a conversation between a student and a teacher:
Student: The total of these 4 distances is 4 + 6 + 10 + 4 = 24 miles.
",generic
20,"
The following is a fragment of a conversation between a student and a teacher:
Student: Wanda walks 0.5 miles each morning.
",probing
21,"
The following is a fragment of a conversation between a student and a teacher:
Student: Wanda walks 1 mile each morning, for a total of 5 miles each week and 20 miles after 4 weeks.
",probing
22,"
The following is a fragment of a conversation between a student and a teacher:
Student: Wanda walks 0.5 miles each afternoon.
",telling
23,"
The following is a fragment of a conversation between a student and a teacher:
Student: Wanda walks 1 mile each afternoon, for a total of 5 miles each week and 20 miles after 4 weeks.
",probing
24,"
The following is a fragment of a conversation between a student and a teacher:
Student: Wanda walks 1 mile each day, for a total of 5 miles each week and 20 miles after 4 weeks.
",telling
25,"
The following is a fragment of a conversation between a student and a teacher:
Student: Wanda walks 2 miles each day, for a total of 10 miles each week and 40 miles after 4 weeks.
",generic
26,"
The following is a fragment of a conversation between a student and a teacher:
Student: Sure, I started by calculating the number of slices of each type of pie. For shepherd's pie, I multiplied 4 pieces by 52 customers to get 208 slices. For chicken pot pie, I multiplied 5 pieces by 80 customers to get 400 slices. Then, I divided 208 by 4 to get the number of shepherd's pies sold, which was 52. I also divided 400 by 5 to get the number of chicken pot pies sold, which was 80. Finally, I added 52 and 80 together to get the total number of pies sold, which was 132.
",probing
27,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, I could count the number of slices of each type of pie and then divide by the number of pieces in each pie. For shepherd's pie, I would divide 208 by 4 to get the number of pies sold, which was 52. For chicken pot pie, I would divide 400 by 5 to get the number of pies sold, which was 80. Then, I would add 52 and 80 together to get the total number of pies sold, which was 132.
",focus
28,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, I could use the number of customers that ordered each type of pie. For shepherd's pie, I would divide 52 customers by 4 slices to get the number of pies sold, which was 13. For chicken pot pie, I would divide 80 customers by 5 slices to get the number of pies sold, which was 16. Then, I would add 13 and 16 together to get the total number of pies sold, which was 29.
",generic
29,"
The following is a fragment of a conversation between a student and a teacher:
Student: Sure! Annie spends 2 hours a week on chess club, 8 hours a week on drama club, and 3 hours a week on glee club. That's a total of 13 hours a week. In one semester, there are 12 weeks, so Annie does 12 x 13 = 156 hours of extracurricular activities in one semester. Taking the first two weeks off sick, she does extracurriculars for 12-2 = 10 weeks before midterms. So, Annie does 10 x 13 = 130 hours of extracurricular activities before midterms.
",probing
30,"
The following is a fragment of a conversation between a student and a teacher:
Student: Before midterms, there are 10 weeks in a semester.
",probing
31,"
The following is a fragment of a conversation between a student and a teacher:
Student: A normal semester is 12 weeks long, and midterms are in the middle of that, so there are 6 weeks before midterms.
",focus
